asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,90,1990年真题,考研数学一历年真题,填空题,01,题1,zt_90-01_question.png,zt_90-01_solution.png,1
002,90,1990年真题,考研数学一历年真题,填空题,02,题2,zt_90-02_question.png,zt_90-02_solution.png,1
003,90,1990年真题,考研数学一历年真题,填空题,03,题3,zt_90-03_question.png,zt_90-03_solution.png,1
004,90,1990年真题,考研数学一历年真题,填空题,04,题4,zt_90-04_question.png,zt_90-04_solution.png,1
005,90,1990年真题,考研数学一历年真题,填空题,05,题5,zt_90-05_question.png,zt_90-05_solution.png,2
006,90,1990年真题,考研数学一历年真题,选择题,06,题6,zt_90-06_question.png,zt_90-06_solution.png,1
007,90,1990年真题,考研数学一历年真题,选择题,07,题7,zt_90-07_question.png,zt_90-07_solution.png,1
008,90,1990年真题,考研数学一历年真题,选择题,08,题8,zt_90-08_question.png,zt_90-08_solution.png,1
009,90,1990年真题,考研数学一历年真题,选择题,09,题9,zt_90-09_question.png,zt_90-09_solution.png,1
010,90,1990年真题,考研数学一历年真题,选择题,10,题10,zt_90-10_question.png,zt_90-10_solution.png,2
011,90,1990年真题,考研数学一历年真题,解答题,11,题11,zt_90-11_question.png,zt_90-11_solution.png,1
012,90,1990年真题,考研数学一历年真题,解答题,12,题12,zt_90-12_question.png,zt_90-12_solution.png,1
013,90,1990年真题,考研数学一历年真题,解答题,13,题13,zt_90-13_question.png,zt_90-13_solution.png,1
014,90,1990年真题,考研数学一历年真题,解答题,14,题14,zt_90-14_question.png,zt_90-14_solution.png,1
015,90,1990年真题,考研数学一历年真题,解答题,15,题15,zt_90-15_question.png,zt_90-15_solution.png,1
016,90,1990年真题,考研数学一历年真题,解答题,16,题16,zt_90-16_question.png,zt_90-16_solution.png,2
017,90,1990年真题,考研数学一历年真题,解答题,17,题17,zt_90-17_question.png,zt_90-17_solution.png,1
018,90,1990年真题,考研数学一历年真题,解答题,18,题18,zt_90-18_question.png,zt_90-18_solution.png,3
019,90,1990年真题,考研数学一历年真题,解答题,19,题19,zt_90-19_question.png,zt_90-19_solution.png,1
020,90,1990年真题,考研数学一历年真题,填空题,20,题20,zt_90-20_question.png,zt_90-20_solution.png,1
021,90,1990年真题,考研数学一历年真题,填空题,21,题21,zt_90-21_question.png,zt_90-21_solution.png,2
022,90,1990年真题,考研数学一历年真题,填空题,22,题22,zt_90-22_question.png,zt_90-22_solution.png,1
023,90,1990年真题,考研数学一历年真题,解答题,23,题23,zt_90-23_question.png,zt_90-23_solution.png,1
