asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,04,第4章 随机变量的数字特征,夜雨强化,习题,01,,pb_04-01_question.png,,0
002,04,第4章 随机变量的数字特征,夜雨强化,习题,02,,pb_04-02_question.png,,0
003,04,第4章 随机变量的数字特征,夜雨强化,习题,03,,pb_04-03_question.png,,0
004,04,第4章 随机变量的数字特征,夜雨强化,习题,04,,pb_04-04_question.png,,0
005,04,第4章 随机变量的数字特征,夜雨强化,习题,05,,pb_04-05_question.png,,0
006,04,第4章 随机变量的数字特征,夜雨强化,习题,06,,pb_04-06_question.png,,0
007,04,第4章 随机变量的数字特征,夜雨强化,习题,07,,pb_04-07_question.png,,0
008,04,第4章 随机变量的数字特征,夜雨强化,习题,08,,pb_04-08_question.png,,0
009,04,第4章 随机变量的数字特征,夜雨强化,习题,09,,pb_04-09_question.png,,0
010,04,第4章 随机变量的数字特征,夜雨强化,习题,10,,pb_04-10_question.png,,0
011,04,第4章 随机变量的数字特征,夜雨强化,习题,11,,pb_04-11_question.png,,0
012,04,第4章 随机变量的数字特征,夜雨强化,习题,12,,pb_04-12_question.png,,0
013,04,第4章 随机变量的数字特征,夜雨强化,习题,13,,pb_04-13_question.png,,0
014,04,第4章 随机变量的数字特征,夜雨强化,习题,14,,pb_04-14_question.png,,0
015,04,第4章 随机变量的数字特征,夜雨强化,习题,15,,pb_04-15_question.png,,0
016,04,第4章 随机变量的数字特征,夜雨强化,习题,16,,pb_04-16_question.png,,0
017,04,第4章 随机变量的数字特征,夜雨强化,习题,17,,pb_04-17_question.png,,0
018,04,第4章 随机变量的数字特征,夜雨强化,习题,18,,pb_04-18_question.png,,0
019,04,第4章 随机变量的数字特征,夜雨强化,习题,19,,pb_04-19_question.png,,0
020,04,第4章 随机变量的数字特征,夜雨强化,习题,20,,pb_04-20_question.png,,0
021,04,第4章 随机变量的数字特征,夜雨强化,习题,21,,pb_04-21_question.png,,0
022,04,第4章 随机变量的数字特征,夜雨强化,习题,22,,pb_04-22_question.png,,0
023,04,第4章 随机变量的数字特征,夜雨强化,习题,23,,pb_04-23_question.png,,0
024,04,第4章 随机变量的数字特征,夜雨强化,习题,24,,pb_04-24_question.png,,0
025,04,第4章 随机变量的数字特征,夜雨强化,习题,25,,pb_04-25_question.png,,0
