asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,21,第21章 多元微分概念与选择题特训,夜雨强化,选择题,01,,pb_21-01_question.png,pb_21-01_solution.png,1
002,21,第21章 多元微分概念与选择题特训,夜雨强化,选择题,02,,pb_21-02_question.png,pb_21-02_solution.png,1
003,21,第21章 多元微分概念与选择题特训,夜雨强化,选择题,03,,pb_21-03_question.png,pb_21-03_solution.png,1
004,21,第21章 多元微分概念与选择题特训,夜雨强化,选择题,04,,pb_21-04_question.png,pb_21-04_solution.png,1
005,21,第21章 多元微分概念与选择题特训,夜雨强化,选择题,05,,pb_21-05_question.png,pb_21-05_solution.png,1
006,21,第21章 多元微分概念与选择题特训,夜雨强化,选择题,06,,pb_21-06_question.png,pb_21-06_solution.png,1
007,21,第21章 多元微分概念与选择题特训,夜雨强化,选择题,07,,pb_21-07_question.png,pb_21-07_solution.png,1
008,21,第21章 多元微分概念与选择题特训,夜雨强化,选择题,08,,pb_21-08_question.png,pb_21-08_solution.png,1
009,21,第21章 多元微分概念与选择题特训,夜雨强化,选择题,09,,pb_21-09_question.png,pb_21-09_solution.png,1
010,21,第21章 多元微分概念与选择题特训,夜雨强化,选择题,10,,pb_21-10_question.png,pb_21-10_solution.png,1
